PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Jonathan Isaac;354.69;50;113;17;58;19;28;37;62;99;5;9;18;30;5;31;22;136;0;0;2098.15;2.513;732
Jonathan Kuminga;549.87;128;288;26;84;53;91;27;71;98;39;34;22;14;28;46;56;335;0;0;2248.39;2.05;1159
Jonathan Mogbo;409.28;52;109;7;19;30;42;54;56;110;42;22;21;11;11;45;31;141;0;0;2546.22;2.442;870
Jordan Clarkson;337.73;68;174;22;80;37;46;10;40;50;50;26;11;1;16;19;29;195;0;0;1315.17;1.349;710
Jordan Hawkins;301.88;47;126;22;66;28;31;5;37;42;14;14;3;4;7;12;25;144;0;0;1107.31;0.752;634
Jordan McLaughlin;158.03;14;38;8;22;10;14;3;16;19;19;8;9;0;3;11;15;46;0;0;1962.04;-2.213;321
Jordan Miller;227.8;43;92;7;23;17;22;17;18;35;18;14;5;2;8;16;16;110;0;0;1422.52;0.964;473
Jordan Poole;605.79;134;307;64;157;76;89;4;40;44;100;68;32;8;24;66;92;408;0;0;2111.87;1.832;1333
Jordan Walsh;140.81;8;26;5;20;0;1;5;12;17;3;4;4;6;1;11;5;21;0;0;1649.02;0.40099999999999997;296
Jose Alvarado;281.62;40;101;24;60;14;17;6;18;24;49;14;17;3;4;26;14;118;0;0;1105.06;0.749;579
Josh Giddey;678.93;112;253;29;91;40;58;29;126;155;172;65;20;11;23;38;48;293;4;1;2644.47;2.739;1494
Josh Green;607.92;60;137;33;73;13;22;21;37;58;37;19;18;7;9;64;32;166;0;0;2160.7;0.861;1240
Josh Hart;923.75;137;230;35;86;45;53;40;168;208;138;42;34;8;9;60;50;354;9;2;2444.64;3.126;1880
Josh Minott;81.55;11;19;2;10;3;5;1;13;14;5;5;3;3;0;12;5;27;0;0;1175.16;0.402;184
Josh Okogie;194.2;36;70;10;23;16;23;17;25;42;8;10;12;4;9;15;25;98;0;0;1312.07;-0.882;407
Josh Richardson;149.49;11;38;6;22;4;4;6;6;12;12;8;8;1;3;17;10;32;0;0;813.12;0.062000000000000006;315
